Book Name,Author,Rating,Customers_Rated,Price
"Eat Smarter: Use the Power of Food to Reboot Your Metabolism, Upgrade Your Brain, and Transform Your Life",Shawn Stevenson,4.9 out of 5 stars,84,$19.69
Plant Over Processed: 75 Simple & Delicious Plant-Based Recipes for Nourishing Your Body and Eating From the Earth,Andrea Hannemann,4.8 out of 5 stars,89,$23.99
"Bridgerton [TV Tie-in]: The Duke and I (Bridgertons, 1)",Julia Quinn,4.3 out of 5 stars,"2,470",$7.48
"Publication Manual of the American Psychological Association: 7th Edition, 2020 Copyright",American Psychological Association,4.8 out of 5 stars,"12,740",$20.59
The Silent Patient,Alex Michaelides,4.5 out of 5 stars,"50,665",$10.40
"A Year of Positive Thinking: Daily Inspiration, Wisdom, and Courage",Cyndie Spiegel,4.7 out of 5 stars,"2,211",$11.86
The Dark Secret (Wings of Fire Graphic Novel #4): A Graphix Book (4),Tui T. Sutherland,4.9 out of 5 stars,124,$11.49
Sierra Club Wilderness Calendar 2021,Sierra Club,4.9 out of 5 stars,"1,515",$7.47
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7 out of 5 stars,"20,553",$2.00
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"30,649",$0.94
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8 out of 5 stars,"11,084",$20.96
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7 out of 5 stars,"16,312",$3.81
Llewellyn's 2021 Witches' Datebook,Mickie Mueller,4.9 out of 5 stars,"1,450",$6.49
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7 out of 5 stars,"42,253",$4.23
Mary Engelbreit 2021 Deluxe Wall Calendar: Back to the Drawing Board,Mary Engelbreit,4.9 out of 5 stars,643,$7.99
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,4.9 out of 5 stars,"12,134",$13.98
Little Blue Truck's Valentine,Alice Schertle,4.9 out of 5 stars,234,$12.19
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7 out of 5 stars,"10,648",$13.50
1984 (Signet Classics),George Orwell,4.7 out of 5 stars,"33,536",$3.91
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"14,915",$15.93
Home Body,Rupi Kaur,4.9 out of 5 stars,"2,672",$10.19
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8 out of 5 stars,"24,374",$18.37
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"37,568",$6.00
The Ickabog,J K Rowling,4.8 out of 5 stars,"3,903",$13.49
Then She Was Gone: A Novel,Lisa Jewell,4.5 out of 5 stars,"21,326",$8.60
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8 out of 5 stars,"9,522",$8.59
Olaf's Frozen Adventure Little Golden Book (Disney Frozen),Andrea Posner-Sanchez,4.8 out of 5 stars,511,$0.91
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6 out of 5 stars,"9,862",$14.98
How to Win Friends & Influence People,Dale Carnegie,4.7 out of 5 stars,"33,775",$5.03
The Bible in 52 Weeks: A Yearlong Bible Study for Women,Dr. Kimberly D. Moore,4.7 out of 5 stars,"6,060",$9.99
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,4.9 out of 5 stars,"14,513",$7.38
Pusheen 2021 Wall Calendar,Claire Belton,4.9 out of 5 stars,611,$7.49
A Time for Mercy (Jake Brigance),John Grisham,4.6 out of 5 stars,"26,760",$16.79
Man's Search for Meaning,Viktor E. Frankl,4.7 out of 5 stars,"23,365",$8.39
"The Complete Mediterranean Cookbook: 500 Vibrant, Kitchen-Tested Recipes for Living and Eating Well Every Day (The…",America's Test Kitchen,4.5 out of 5 stars,"5,993",$15.47
Grumpy Monkey,Suzanne Lang,4.8 out of 5 stars,"9,226",$2.57
The 40-Day Sugar Fast: Where Physical Detox Meets Spiritual Transformation,Wendy Speake,4.7 out of 5 stars,"2,499",$10.28
Breath: The New Science of a Lost Art,James Nestor,4.7 out of 5 stars,"6,229",$16.80
What to Expect When You're Expecting,Heidi Murkoff,4.7 out of 5 stars,"13,172",$9.89
The Guest List: A Novel,Lucy Foley,4.3 out of 5 stars,"21,354",$17.52
Instant Loss on a Budget: Super-Affordable Recipes for the Health-Conscious Cook,Brittany Williams,4.9 out of 5 stars,313,$19.98
Love is the Way: Holding on to Hope in Troubling Times,Bishop Michael Curry,4.9 out of 5 stars,710,$19.90
Thomas Kinkade Special Collector's Edition 2021 Deluxe Wall Calendar: Reflections,Thomas Kinkade,4.9 out of 5 stars,317,$9.49
New Morning Mercies: A Daily Gospel Devotional,Paul David Tripp,4.9 out of 5 stars,"5,148",$19.99
The Viscount Who Loved Me: Bridgerton (Bridgertons),Julia Quinn,4.5 out of 5 stars,"1,489",$8.99
Disney Dreams Collection Thomas Kinkade Studios Coloring Book,Thomas Kinkade,4.7 out of 5 stars,"12,513",$6.77
The Return,Nicholas Sparks,4.6 out of 5 stars,"14,862",$14.00
We Were Liars,E. Lockhart,4.5 out of 5 stars,"11,179",$5.99
Burn After Writing,Sharon Jones,4.6 out of 5 stars,"21,113",$8.24
Potty Time! (Daniel Tiger's Neighborhood) (Daniel Tiger's Neighborhood Interactive Take-Along Children's Sound Book),Scarlett Wing,4.8 out of 5 stars,"5,295",$5.00
Magnolia Table,Joanna Gaines,4.8 out of 5 stars,"14,351",$16.59
Cat Kid Comic Club: From the Creator of Dog Man,Dav Pilkey,4.9 out of 5 stars,"2,599",$7.20
